STATION,STATION_NAME,DATE,DLY-TAVG-NORMAL,DLY-TAVG-STDDEV
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100101,428,90
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100102,427,90
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100103,427,90
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100104,427,91
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100105,427,91
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100106,427,91
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100107,427,91
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100108,427,92
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100109,427,92
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100110,427,92
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100111,428,92
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100112,428,93
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100113,428,92
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100114,429,92
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100115,429,92
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100116,430,92
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100117,430,91
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100118,430,90
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100119,431,89
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100120,432,89
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100121,432,88
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100122,433,87
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100123,433,86
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100124,434,85
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100125,435,84
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100126,436,84
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100127,436,83
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100128,437,83
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100129,438,83
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100130,439,82
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100131,440,82
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100201,441,82
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100202,442,81
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100203,443,81
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100204,445,80
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100205,446,80
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100206,447,80
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100207,448,79
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100208,450,79
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100209,451,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100210,453,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100211,455,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100212,456,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100213,458,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100214,460,77
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100215,462,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100216,464,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100217,466,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100218,468,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100219,470,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100220,472,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100221,475,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100222,477,79
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100223,479,79
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100224,482,79
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100225,484,79
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100226,487,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100227,490,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100228,492,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100301,495,78
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100302,498,77
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100303,500,77
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100304,503,77
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100305,506,77
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100306,509,77
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100307,512,77
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100308,515,77
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100309,517,76
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100310,520,76
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100311,523,76
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100312,526,76
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100313,529,75
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100314,531,75
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100315,534,75
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100316,537,74
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100317,540,74
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100318,542,74
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100319,545,74
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100320,548,73
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100321,550,73
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100322,553,73
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100323,555,73
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100324,558,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100325,560,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100326,563,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100327,565,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100328,567,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100329,570,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100330,572,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100331,574,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100401,577,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100402,579,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100403,581,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100404,583,72
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100405,586,71
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100406,588,71
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100407,590,70
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100408,592,70
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100409,594,70
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100410,597,69
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100411,599,69
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100412,601,69
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100413,603,68
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100414,606,68
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100415,608,67
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100416,610,66
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100417,613,66
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100418,615,65
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100419,617,64
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100420,620,64
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100421,622,63
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100422,625,62
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100423,627,62
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100424,630,61
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100425,633,60
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100426,635,59
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100427,638,58
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100428,641,58
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100429,643,57
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100430,646,56
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100501,649,56
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100502,652,56
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100503,655,55
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100504,658,55
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100505,661,55
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100506,664,55
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100507,667,54
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100508,670,54
GHCND:USW00003888,ATLANTA FULTON CO AIRPORT GA US,20100509,673,54
