f_scale,latitude,longitude
EF0,48.63,-97.62
EF0,48.44,-97.32
EF1,48.44,-98.88
EF0,48.42,-97.31
EF0,48.36,-100.9
EF2,48.35,-105.61
EF0,47.97,-114.07
EF0,47.95,-100.93
EF1,47.8,-95.7
EF1,47.8,-95.58
EF2,47.32,-95.55
EF2,47.3,-95.91
EF1,47.08,-93.93
EF0,47.05,-98.3
EF1,47.01,-93.78
EF0,46.91,-101.26
EF0,46.88,-101.49
EF0,46.67,-103.66
EF0,46.65,-96.42
EF0,46.61,-107.87
EF0,46.5,-104.19
EF0,46.47,-97.02
EF0,46.46,-95.16
EF0,46.43,-97.03
EF1,46.37,-96.84
EF1,46.24,-105.76
EF1,46.2,-69.1
EF0,46.17,-103.43
EF0,46.15,-102.64
EF0,46.06,-97.35
EF1,45.82,-96.27
EF0,45.75,-122.45
EF0,45.67,-67.88
EF0,45.61,-96.14
EF0,45.6,-99.88
EF0,45.53,-95.82
EF0,45.52,-117.37
EF0,45.44,-105.6
EF0,45.35,-95.16
EF0,45.28,-89.69
EF0,45.26,-89.42
EF1,45.22,-123.19
EF0,45.07,-69.95
EF0,44.97,-91.23
EF0,44.94,-87.86
EF0,44.87,-84.69
EF0,44.71,-97.91
EF0,44.66,-91.2
EF0,44.66,-98.99
EF0,44.66,-97.94
EF0,44.61,-97.3
EF0,44.49,-97.54
EF0,44.45,-97.85
EF1,44.43,-87.88
EF1,44.42,-87.77
EF2,44.38,-88.77
EF1,44.37,-88.74
EF1,44.37,-88.37
EF1,44.35,-88.84
EF0,44.35,-88.19
EF1,44.34,-88.74
EF1,44.34,-88.42
EF0,44.33,-108.83
EF0,44.32,-95.73
EF1,44.31,-88.19
EF1,44.31,-87.89
EF1,44.3,-88.46
EF0,44.26,-89.53
EF1,44.25,-88.19
EF1,44.24,-88.16
EF0,44.18,-92.97
EF0,44.04,-91.55
EF0,43.9,-112.49
EF0,43.83,-95.22
EF0,43.72,-95.17
EF0,43.7,-89.48
EF0,43.65,-85.31
EF1,43.36,-89.35
EF0,43.32,-77.72
EF0,43.3,-85.81
EF0,43.28,-123.42
EF0,43.26,-85.87
EF0,43.19,-115.88
EF0,43.17,-92.73
EF0,43.1,-97.35
EF1,43.07,-83.72
EF0,42.98,-95.06
EF0,42.96,-106.09
EF2,42.9,-83.57
EF0,42.9,-91.14
EF3,42.88,-93.68
EF0,42.87,-91.22
EF0,42.87,-93.66
EF0,42.86,-83.93
EF1,42.85,-74.2
EF2,42.85,-74.19
EF2,42.85,-83.77
EF1,42.85,-93.6
EF0,42.84,-95.4
EF0,42.83,-84.18
EF1,42.83,-84.03
EF2,42.82,-93.47
EF0,42.81,-84.31
EF0,42.8,-114.41
EF1,42.79,-73.81
EF1,42.79,-93.33
